id,comment_text,lang,toxic
0,"Este usuario ni siquiera llega al rango de    hereje   . Por lo tanto debería ser quemado en la barbacoa para purificar su alma y nuestro aparato digestivo mediante su ingestión.    Skipe linkin 22px   Honor, valor, leltad.      17:48 13 mar 2008 (UTC)",es,0
1,"Il testo di questa voce pare esser scopiazzato direttamente da qui. Immagino possano esserci problemi di copyright, nel fare cio .",it,0
2,"Vale. Sólo expongo mi pasado. Todo tiempo pasado fue mejor, ni mucho menos, yo no quisiera retroceder 31 años a nivel particular. Las volveria a pasar putas.Fernando ",es,1
3,"Bu maddenin alt başlığı olarak  uluslararası ilişkiler  ile konuyu sürdürmek ile ilgili tereddütlerim var.Önerim siyaset bilimi ana başlığından sonra siyasal yaşam ve toplum, siyasal güç, siyasal çatışma, siyasal gruplar, çağdaş ideolojiler, din, siyasal değişme, kamuoyu, propaganda ve siyasal katılma temelinde çoğulcu siyasal sistemler.Bu alt başlıkların daha anlamlı olacağı kanaatindeyim.",tr,0
4,"Belçika nın şehirlerinin yanında ilçe ve beldelerini yaparken sanırım Portekizi örnek alacaksın. Ben de uzak gelecekte(2-3 yıl) bu tip şeyler düşünüyorum. Tabii futbol maddelerinin hakkından geldikten sonra..    daha önce mesajlarınızı görmüştüm, hatta anon bölümünü bizzat kullanıyordum   sözünü anlamadım??  tanışmak bugüneymiş gibi bir şey eklemeyi düşündüm ama vazgeçtim. orayı da silmeyi unuttum. boşverin Kıdemli   +    ",tr,0
5,"güzel, zaten kaynaklandırması zor subjektif kategoriler bunlar. bazı maddelerden çıkartmak, kiminden çıkartıp kiminde bırakmak, çıkartılanları yerine iade etmek yerine Kategori:Milletlere karşı ırkçı duygular dakilerin tamamına el atmak gerekiyor.    kibele    ",tr,0
6,"No es mala idea. De hecho, yo estaba pensando descolgarme ya del reto mensual, pero esto vuelve a ilusionarme. El problema es que contabilizar los artículos a mano es muy tedioso, así que habría que disponer de una herramienta tipo escaladix que lo hiciera automáticamente. Y tampoco estaría mal disponer de resultados parciales cada tres meses o similar. Yo me apunto ) . Saludos de ",es,0
7,"Kod hatalarını düzeltmişsiniz,elinize sağlık çok teşekkürler.Önceki sürümleri araştırdım.13 Haziran 2010 da Kullanıcı:Türk Süvarisi nin yaptığı şu değişikliğe kadar 107 kaynak var ve benim görebildiğim kadarıyla kaynaklarda hata yok.Türk Süvarisi nin değişikliğinden sonra kaynak sayısı 111 e çıkıyor ve kaynak hataları oluşuyor.Bana Türk Süvarisi hatalı bir şekilde yeni kaynaklar eklemiş gibi geldi.Siz ne dersiniz?Yardımcı olursanız çok sevinirim.Bu arada İran ı KM adayı göstermeyi düşünüyorum ve bu nedenle maddeyi düzenlemeye çalışıyorum.Vikipedi:Madde incelemesi/İran/arşiv1 de siz de görüşlerinizi belirtirseniz maddenin gelişimi adına katkısı olur diye düşünüyorum.İngiltere Portalı nda sizin ve diğer vikipedistlerin bahsettiği yorumsal ifadeleri ve yazım hatalarını düzelttim.İsterseniz portala tekrar göz atın.Sevgiler, iyivikiler   Âkhilleus       mesaj    ",tr,0
8,"Levent Abi nasılsın? Hayat nasıl gidiyor? Umarım her şey istediğin gibidir. Bu arada Janet Jackson maddesi seçkin madde oldu. Çok çalışmıştım, insanın emeğinin karşılığını alması çok güzel. Kendine çok iyi bak Levent Abi. İyi çalışmalar. ♪♫     A  takan      0652   |   mesaj    ",tr,0
9,"Creo que es importante que podamos reconocer a gente como Victor Manuel Vucetich , quien es originario de Tampico y ha sido 4 veces campeón del Futbol Mexicano , este último año con el Monterrey!!",es,0
10,"Ciao, in sintesi Ti dico questo, trovo sbagliato l eliminazione delle pagine che rimandano a quelle dell aiuto glossari, semplicemente perchè sono difficilmente  raggiungibili  da un utilizzatore che non sia esperto di Wiki, hai qualche soluzione in merito, perdonami e grazie. Pifoyde (msg) ",it,0
11,"Tekrar merhaba. Bahse konu internet sitesinin maddesindeki reklam kokan üslubu değiştirseniz dahi, maddede bahse konu edilen internet sitesi, kayda değerlik kriterlerini karşılamadığı için, ansiklopedik bir üslup kullanılmış dahi olsa, M6 kriteri uyarınca silinecektir. İyi çalışmalar. Utku Tanrıveremesaj ",tr,0
12,"No sabemos quien es el autor del pie de imagen por ende no podemos acusarlo de haber inventado o no inventado la afirmacion, ergo no podemos decir que es investigacion original ya que no sabemos de donde obtuvo las lineas que escribió, lo que si sabemos es que la carga de la prueba recae sobre quien hace la afirmación, y en este caso es Xana la que afirma que el pie de imagen es subjetivo, pero, ¿segun quien?¿segun ella misma?, entonces en ese caso decir que el pie de iamgen es subjetivo es una afirmacion subjetiva de la propia subjetividad de Xana ya que no ha demostrado pruebas objetivas de que la susodicha sea realmente subjetiva, ergo eliminar tanto el pie de foto como la imagen misma nomás porque así lo dice la subjetividad de Xana, eso sería precisamente una edición subjetiva carente de argumentacion enciclopédica y por eso procedí a revertirla.Mr. ",es,0
